O TWIX 5 2
M 5
R HARIBO-GOLD-BEARS 1
R STARBURST 7
M 6
P LAYS-CLASSIC 2
O AQUAFINA-WATER 8 6
R KIND-BAR-DARK-CHOCOLATE-NUT 2
P NESQUIK-CHOCOLATE-MILK 7
O POWERADE 1 8
R LIFE-SAVERS-GUMMIES 10
M 4
R SMARTWATER 7
R GATORADE 8
P PEPSI 6
R 3-MUSKETEERS 10
R DORITOS-COOL-RANCH 3
P FANTA-ORANGE 10
R TWIX 6
O FIJI-WATER 5 4
R PEPSI 1
R LIFE-SAVERS-GUMMIES 4
P NESTEA-LEMON-TEA 3
R KIND-BAR-DARK-CHOCOLATE-NUT 3
R TIC-TAC-ORANGE 6
P RED-BULL 6
M 2
R SNICKERS 9
R KIT-KAT 3
M 10
K WHAT-A-MATRAKA
M 8
O TASTYKAKE-HONEY-BUN 8 4
R STARBURST 10
R SNICKERS 2
R CLIF-BAR-CHOCOLATE-CHIP 6
R KIND-BAR-DARK-CHOCOLATE-NUT 9
R HOSTESS-DONETTES-POWDERED 6
R SMARTWATER 1
R RITZ-CRACKERS 1
R SPRITE 2
R RITZ-CRACKERS 6
R DORITOS-NACHO-CHEESE 3
R OREO 3
R LAYS-BARBECUE 4
P MONSTER-ENERGY 9
P 3-MUSKETEERS 5
M 7
R LAYS-BARBECUE 1
M 1
R SKITTLES 3
R DASANI-WATER 6
M 1
O NUTRI-GRAIN-STRAWBERRY 10 3
R FANTA-ORANGE 8
M 9
P RITZ-CRACKERS 4
O GATORADE 2 9
R AQUAFINA-WATER 6
R SUN-CHIPS-HARVEST-CHEDDAR 3
R MONSTER-ENERGY 9
R TASTYKAKE-HONEY-BUN 9
R MONSTER-ENERGY 9
R SMARTWATER 4
R SNICKERS 9
R AQUAFINA-WATER 7
R DORITOS-COOL-RANCH 2
P CHEETOS-CRUNCHY 10
R DR-PEPPER 10
P COCA-COLA 1
R GATORADE 6
M 5
R PLANET-OATS-CHOCOLATE-MILK 1
M 1
R HOSTESS-TWINKIES 5
R PEPSI 1
R NESQUIK-CHOCOLATE-MILK 6
R ALTOIDS-PEPPERMINT 7
O LIFE-SAVERS-GUMMIES 7 8
R TASTYKAKE-HONEY-BUN 5
R DORITOS-COOL-RANCH 6
R EXTRA-PEPPERMINT-GUM 6
R STARBURST 2
R 3-MUSKETEERS 10
P STARBUCKS-FRAPPUCCINO 4
R SNICKERS 6
P KIT-KAT 8
O TWIX 2 10
R GATORADE 8
P MILKY-WAY 5
R SNICKERS 9
R FANTA-ORANGE 5
P LAYS-CLASSIC 1
R NESTEA-LEMON-TEA 6
R DORITOS-COOL-RANCH 5
P SMARTWATER 2
R MILKY-WAY 5
O TWIX 9 6
P EXTRA-PEPPERMINT-GUM 8
R CHEETOS-CRUNCHY 8
M 6
R HOSTESS-DONETTES-POWDERED 7
O SPRITE 7 5
R TIC-TAC-ORANGE 2
P KIND-BAR-DARK-CHOCOLATE-NUT 2
R PEPSI 3
R CHEETOS-CRUNCHY 1
R PLANET-OATS-CHOCOLATE-MILK 10
R PRINGLES-ORIGINAL 8
R SPRITE 1
R HOSTESS-TWINKIES 3
R HOSTESS-TWINKIES 8
O PRINGLES-ORIGINAL 4 2
R MOUNTAIN-DEW 4
R PLANET-OATS-CHOCOLATE-MILK 10
M 9
R FANTA-ORANGE 3
O STARBURST 1 4
R DR-PEPPER 6
R DORITOS-NACHO-CHEESE 2
R NESQUIK-CHOCOLATE-MILK 5
P LAYS-BARBECUE 5
O HARIBO-GOLD-BEARS 10 6
R KIT-KAT 1
P OREO 1
R KIT-KAT 5
P DASANI-WATER 2
O 3-MUSKETEERS 9 8
P LAYS-CLASSIC 6
P NESTEA-LEMON-TEA 5
P TRIDENT-SPEARMINT-GUM 3
R EXTRA-PEPPERMINT-GUM 4
R PRINGLES-ORIGINAL 8
M 6
R DASANI-WATER 1
K WHAT-A-MATRAKA
P TIC-TAC-ORANGE 5
R MONSTER-ENERGY 7
M 8
M 10
R POCKY-CHOCOLATE 5
M 5
R PEPSI 10
R LAYS-CLASSIC 7
R SPRITE 9
R TWIX 10
P LAYS-BARBECUE 4
R SNICKERS 2
P SUN-CHIPS-HARVEST-CHEDDAR 8
R POWERADE 1
M 2
P COCA-COLA 1
P EXTRA-PEPPERMINT-GUM 3
P KIT-KAT 7
P SPRITE 7
O PLANET-OATS-CHOCOLATE-MILK 7 1
O STARBUCKS-FRAPPUCCINO 10 3
R CLIF-BAR-CHOCOLATE-CHIP 4
R NUTRI-GRAIN-STRAWBERRY 7
R NESQUIK-CHOCOLATE-MILK 4
R KIT-KAT 2
R DORITOS-NACHO-CHEESE 3
R PRINGLES-ORIGINAL 3
R EXTRA-PEPPERMINT-GUM 6
R LAYS-CLASSIC 3
R STARBUCKS-FRAPPUCCINO 10
R TWIX 5
O OREO 10 7
