M 10
P MILKY-WAY 5
R DORITOS-COOL-RANCH 3
R POCKY-CHOCOLATE 5
R CLIF-BAR-CHOCOLATE-CHIP 4
O SKITTLES 1 3
P DASANI-WATER 10
R CLIF-BAR-CHOCOLATE-CHIP 7
R RITZ-CRACKERS 6
R KIND-BAR-DARK-CHOCOLATE-NUT 5
P CHEETOS-FLAMIN'-HOT 7
R MOUNTAIN-DEW 3
P DORITOS-COOL-RANCH 2
R POCKY-CHOCOLATE 2
R POWERADE 1
M 8
R HOSTESS-DONETTES-POWDERED 2
O TASTYKAKE-HONEY-BUN 9 2
R STARBURST 2
R POWERADE 2
O FANTA-ORANGE 6 2
R AQUAFINA-WATER 3
R TROPICANA-ORANGE-JUICE 1
R MOUNTAIN-DEW 7
K WHAT-A-MATRAKA
R PLANET-OATS-CHOCOLATE-MILK 9
R HARIBO-GOLD-BEARS 10
M 1
O RITZ-CRACKERS 9 4
R SMARTWATER 3
R KIT-KAT 6
R SPRITE 8
R MILKY-WAY 2
O FANTA-ORANGE 4 6
R MILKY-WAY 6
R HARIBO-GOLD-BEARS 3
R HOSTESS-DONETTES-POWDERED 9
P TASTYKAKE-HONEY-BUN 8
M 10
R 3-MUSKETEERS 4
M 1
R PEPSI 6
R AQUAFINA-WATER 9
R FANTA-ORANGE 10
P OREO 7
P CHEETOS-CRUNCHY 2
R MILKY-WAY 1
R POWERADE 3
R PLANET-OATS-CHOCOLATE-MILK 7
P M&M 8
R POWERADE 7
R POWERADE 2
R NUTRI-GRAIN-STRAWBERRY 9
R NESQUIK-CHOCOLATE-MILK 7
R EXTRA-PEPPERMINT-GUM 10
P POWERADE 2
R PRINGLES-ORIGINAL 8
M 7
R STARBUCKS-FRAPPUCCINO 9
P STARBUCKS-FRAPPUCCINO 1
R PRINGLES-SOUR-CREAM-&-ONION 9
O EXTRA-PEPPERMINT-GUM 6 7
R HOSTESS-TWINKIES 4
R MENTOS-FRUIT 3
R CHEETOS-CRUNCHY 3
R HOSTESS-TWINKIES 6
R TIC-TAC-ORANGE 4
R LAYS-BARBECUE 4
R HOSTESS-DONETTES-POWDERED 1
P SMARTWATER 10
R CHEETOS-FLAMIN'-HOT 6
R RITZ-CRACKERS 1
P DASANI-WATER 10
O POWERADE 8 5
R HOSTESS-TWINKIES 4
R TWIX 5
R TROPICANA-ORANGE-JUICE 6
R TWIX 4
R AQUAFINA-WATER 3
P CLIF-BAR-CHOCOLATE-CHIP 4
R HOSTESS-DONETTES-POWDERED 3
M 1
R MILKY-WAY 3
R TASTYKAKE-HONEY-BUN 10
R STARBUCKS-FRAPPUCCINO 5
P SKITTLES 6
R M&M 5
R TRIDENT-SPEARMINT-GUM 8
R POCKY-CHOCOLATE 10
R EXTRA-PEPPERMINT-GUM 2
P TWIX 10
R MILKY-WAY 8
R EXTRA-PEPPERMINT-GUM 1
R FIJI-WATER 6
P DORITOS-NACHO-CHEESE 10
P TASTYKAKE-HONEY-BUN 4
O TWIX 2 2
K WHAT-A-MATRAKA
R POCKY-CHOCOLATE 3
P SKITTLES 6
R SKITTLES 1
R EXTRA-PEPPERMINT-GUM 4
R M&M 4
P KIT-KAT 9
R ALTOIDS-PEPPERMINT 2
R STARBUCKS-FRAPPUCCINO 8
R SMARTWATER 8
R NUTRI-GRAIN-STRAWBERRY 7
R HOSTESS-TWINKIES 2
R LAYS-CLASSIC 5
R COCA-COLA 3
P TRIDENT-SPEARMINT-GUM 5
R CLIF-BAR-CHOCOLATE-CHIP 5
M 5
P RITZ-CRACKERS 10
R LIFE-SAVERS-GUMMIES 6
M 8
R STARBUCKS-FRAPPUCCINO 9
R NESQUIK-CHOCOLATE-MILK 4
R RED-BULL 3
R KIND-BAR-DARK-CHOCOLATE-NUT 1
R FIJI-WATER 6
R POWERADE 2
P SPRITE 9
P TROPICANA-ORANGE-JUICE 9
P POWERADE 10
O SKITTLES 2 10
R SUN-CHIPS-HARVEST-CHEDDAR 10
R STARBURST 6
M 10
R FANTA-ORANGE 1
R DASANI-WATER 5
R POWERADE 4
R POWERADE 8
R MONSTER-ENERGY 8
P PLANET-OATS-CHOCOLATE-MILK 6
R DORITOS-NACHO-CHEESE 1
P FANTA-ORANGE 10
R FIJI-WATER 1
R FIJI-WATER 5
P TROPICANA-ORANGE-JUICE 10
R TASTYKAKE-HONEY-BUN 1
R PRINGLES-ORIGINAL 4
O SPRITE 2 5
P POCKY-CHOCOLATE 7
R KIND-BAR-DARK-CHOCOLATE-NUT 7
R SMARTWATER 5
R OREO 1
R RITZ-CRACKERS 1
P LAYS-CLASSIC 3
R M&M 7
P TIC-TAC-ORANGE 4
M 2
O PLANET-OATS-CHOCOLATE-MILK 1 9
