M 4
M 1
R COCA-COLA 10
R CHEETOS-CRUNCHY 9
R 3-MUSKETEERS 3
R ALTOIDS-PEPPERMINT 7
R HARIBO-GOLD-BEARS 1
R NESTEA-LEMON-TEA 4
R NESQUIK-CHOCOLATE-MILK 5
P HARIBO-GOLD-BEARS 8
R ALTOIDS-PEPPERMINT 6
P MILKY-WAY 1
R FANTA-ORANGE 4
P SNICKERS 10
R NUTRI-GRAIN-STRAWBERRY 6
P AQUAFINA-WATER 6
R 3-MUSKETEERS 9
R PLANET-OATS-CHOCOLATE-MILK 2
P STARBURST 6
R ALTOIDS-PEPPERMINT 1
R AQUAFINA-WATER 3
P SPRITE 1
R SNICKERS 9
R RED-BULL 2
R HARIBO-GOLD-BEARS 4
P CLIF-BAR-CHOCOLATE-CHIP 3
R KIND-BAR-DARK-CHOCOLATE-NUT 9
P NESTEA-LEMON-TEA 7
K WHAT-A-MATRAKA
R CLIF-BAR-CHOCOLATE-CHIP 3
M 4
R DORITOS-NACHO-CHEESE 5
P AQUAFINA-WATER 9
P EXTRA-PEPPERMINT-GUM 9
O M&M 5 3
R RITZ-CRACKERS 6
R TWIX 5
P HARIBO-GOLD-BEARS 1
R AQUAFINA-WATER 4
M 6
M 1
P NESTEA-LEMON-TEA 7
P MOUNTAIN-DEW 9
P PRINGLES-SOUR-CREAM-&-ONION 1
R LIFE-SAVERS-GUMMIES 2
O RITZ-CRACKERS 10 9
R DASANI-WATER 4
P CHEETOS-CRUNCHY 5
R LAYS-CLASSIC 3
R HOSTESS-TWINKIES 3
R TASTYKAKE-HONEY-BUN 1
O POCKY-CHOCOLATE 7 5
O LAYS-BARBECUE 8 7
R LAYS-CLASSIC 4
R KIT-KAT 4
R STARBUCKS-FRAPPUCCINO 4
R MILKY-WAY 6
R HARIBO-GOLD-BEARS 3
R STARBURST 6
P TASTYKAKE-HONEY-BUN 8
R SPRITE 10
R KIND-BAR-DARK-CHOCOLATE-NUT 6
P AQUAFINA-WATER 6
P MENTOS-FRUIT 10
R HOSTESS-DONETTES-POWDERED 7
P LAYS-BARBECUE 4
R COCA-COLA 7
R TASTYKAKE-HONEY-BUN 1
O HOSTESS-TWINKIES 10 6
R MONSTER-ENERGY 5
R PRINGLES-SOUR-CREAM-&-ONION 3
K WHAT-A-MATRAKA
O CHEETOS-CRUNCHY 10 7
P MONSTER-ENERGY 8
R TASTYKAKE-HONEY-BUN 4
R LIFE-SAVERS-GUMMIES 3
R DORITOS-NACHO-CHEESE 7
R DR-PEPPER 1
K WHAT-A-MATRAKA
O M&M 6 4
P TROPICANA-ORANGE-JUICE 8
O NESTEA-LEMON-TEA 4 5
M 1
R RITZ-CRACKERS 6
R RITZ-CRACKERS 6
P LAYS-CLASSIC 9
R CLIF-BAR-CHOCOLATE-CHIP 5
R AQUAFINA-WATER 8
P PRINGLES-SOUR-CREAM-&-ONION 10
P TRIDENT-SPEARMINT-GUM 2
R DORITOS-NACHO-CHEESE 1
R KIT-KAT 10
M 2
R MOUNTAIN-DEW 7
R TIC-TAC-ORANGE 3
O CLIF-BAR-CHOCOLATE-CHIP 7 9
M 8
R SNICKERS 1
R TASTYKAKE-HONEY-BUN 4
R FANTA-ORANGE 5
R NESQUIK-CHOCOLATE-MILK 4
R FIJI-WATER 2
P RED-BULL 6
R MENTOS-FRUIT 3
K WHAT-A-MATRAKA
O SPRITE 6 7
O GATORADE 6 3
R KIND-BAR-DARK-CHOCOLATE-NUT 4
O SKITTLES 4 6
O HOSTESS-TWINKIES 2 10
R SKITTLES 8
R HOSTESS-TWINKIES 3
R STARBURST 1
O DORITOS-NACHO-CHEESE 4 8
R KIT-KAT 6
P POCKY-CHOCOLATE 7
R TWIX 1
R POWERADE 2
M 3
O STARBURST 3 7
O NESQUIK-CHOCOLATE-MILK 1 8
R TWIX 7
P COCA-COLA 9
R NUTRI-GRAIN-STRAWBERRY 8
R STARBURST 4
R NUTRI-GRAIN-STRAWBERRY 3
R DORITOS-NACHO-CHEESE 3
P DASANI-WATER 4
M 6
P NESTEA-LEMON-TEA 3
R EXTRA-PEPPERMINT-GUM 6
R RITZ-CRACKERS 4
R NESTEA-LEMON-TEA 4
R MENTOS-FRUIT 7
R POWERADE 1
O ALTOIDS-PEPPERMINT 8 7
R MENTOS-FRUIT 4
O STARBUCKS-FRAPPUCCINO 10 2
R NESQUIK-CHOCOLATE-MILK 4
R MONSTER-ENERGY 9
R SKITTLES 1
R STARBURST 9
P DR-PEPPER 7
R SNICKERS 3
K WHAT-A-MATRAKA
O KIND-BAR-DARK-CHOCOLATE-NUT 1 10
R EXTRA-PEPPERMINT-GUM 10
O KIND-BAR-DARK-CHOCOLATE-NUT 7 10
R HOSTESS-TWINKIES 2
M 10
R TROPICANA-ORANGE-JUICE 5
R PRINGLES-ORIGINAL 10
R STARBUCKS-FRAPPUCCINO 7
O ALTOIDS-PEPPERMINT 9 1
R POCKY-CHOCOLATE 10
R RED-BULL 4
P MONSTER-ENERGY 4
P PRINGLES-SOUR-CREAM-&-ONION 3
R POCKY-CHOCOLATE 4
R TRIDENT-SPEARMINT-GUM 3
P MILKY-WAY 3
P DORITOS-NACHO-CHEESE 4
K WHAT-A-MATRAKA
P TROPICANA-ORANGE-JUICE 7
M 3
M 9
R CHEETOS-FLAMIN'-HOT 5
P PRINGLES-ORIGINAL 6
R POWERADE 2
R CHEETOS-CRUNCHY 6
R HOSTESS-DONETTES-POWDERED 6
K WHAT-A-MATRAKA
P CLIF-BAR-CHOCOLATE-CHIP 7
R MILKY-WAY 1
P M&M 2
R SKITTLES 8
R MONSTER-ENERGY 3
M 10
R MILKY-WAY 5
R DORITOS-COOL-RANCH 3
R HARIBO-GOLD-BEARS 7
P HOSTESS-DONETTES-POWDERED 4
R LAYS-BARBECUE 6
O GATORADE 9 9
R DORITOS-COOL-RANCH 1
R MONSTER-ENERGY 10
P KIT-KAT 6
R NUTRI-GRAIN-STRAWBERRY 4
R STARBURST 10
K WHAT-A-MATRAKA
R AQUAFINA-WATER 9
O MENTOS-FRUIT 9 6
R MENTOS-FRUIT 3
O DORITOS-NACHO-CHEESE 6 10
M 3
R OREO 7
R CHEETOS-FLAMIN'-HOT 5
P CHEETOS-CRUNCHY 9
R AQUAFINA-WATER 1
O HOSTESS-TWINKIES 5 8
R SPRITE 10
O STARBURST 10 7
P SNICKERS 6
P LIFE-SAVERS-GUMMIES 9
P FIJI-WATER 1
O PEPSI 4 3
O MILKY-WAY 9 7
R TIC-TAC-ORANGE 8
R KIT-KAT 10
R TROPICANA-ORANGE-JUICE 6
R SUN-CHIPS-HARVEST-CHEDDAR 1
P COCA-COLA 6
P DORITOS-COOL-RANCH 6
O NESTEA-LEMON-TEA 9 2
R HOSTESS-DONETTES-POWDERED 5
R MENTOS-FRUIT 4
P SMARTWATER 7
M 6
P NESTEA-LEMON-TEA 9
R TROPICANA-ORANGE-JUICE 7
R LAYS-BARBECUE 9
R HOSTESS-DONETTES-POWDERED 7
R RED-BULL 3
R FANTA-ORANGE 9
P DR-PEPPER 5
K WHAT-A-MATRAKA
R STARBUCKS-FRAPPUCCINO 8
R LAYS-BARBECUE 5
P KIT-KAT 5
