O ALTOIDS-PEPPERMINT 9 10
M 7
R AQUAFINA-WATER 9
R EXTRA-PEPPERMINT-GUM 7
R NESQUIK-CHOCOLATE-MILK 10
R DR-PEPPER 5
R OREO 9
R NUTRI-GRAIN-STRAWBERRY 6
O KIT-KAT 10 7
O DORITOS-COOL-RANCH 7 3
R MOUNTAIN-DEW 6
R PRINGLES-SOUR-CREAM-&-ONION 2
R PEPSI 9
R NUTRI-GRAIN-STRAWBERRY 10
R RED-BULL 2
M 6
P COCA-COLA 7
M 2
O 3-MUSKETEERS 8 2
M 9
R COCA-COLA 7
R OREO 8
P KIND-BAR-DARK-CHOCOLATE-NUT 10
P MONSTER-ENERGY 6
R TWIX 5
R LIFE-SAVERS-GUMMIES 3
P STARBURST 5
R TROPICANA-ORANGE-JUICE 6
R EXTRA-PEPPERMINT-GUM 5
M 6
R COCA-COLA 5
R KIND-BAR-DARK-CHOCOLATE-NUT 1
P GATORADE 8
K WHAT-A-MATRAKA
R 3-MUSKETEERS 3
R FIJI-WATER 8
R DORITOS-NACHO-CHEESE 10
P M&M 8
O MONSTER-ENERGY 1 2
P DORITOS-NACHO-CHEESE 1
P SNICKERS 4
R M&M 2
K WHAT-A-MATRAKA
P RED-BULL 7
O CHEETOS-FLAMIN'-HOT 3 4
R SPRITE 5
R KIT-KAT 9
M 4
R POCKY-CHOCOLATE 9
R MILKY-WAY 3
R PRINGLES-SOUR-CREAM-&-ONION 1
R HARIBO-GOLD-BEARS 2
R CHEETOS-FLAMIN'-HOT 8
P ALTOIDS-PEPPERMINT 8
R PLANET-OATS-CHOCOLATE-MILK 5
R SUN-CHIPS-HARVEST-CHEDDAR 6
R TROPICANA-ORANGE-JUICE 10
O CLIF-BAR-CHOCOLATE-CHIP 8 6
M 4
M 9
R STARBURST 9
R TASTYKAKE-HONEY-BUN 10
P SUN-CHIPS-HARVEST-CHEDDAR 9
R RITZ-CRACKERS 3
P TASTYKAKE-HONEY-BUN 3
R HOSTESS-TWINKIES 4
R HARIBO-GOLD-BEARS 5
R GATORADE 1
P TIC-TAC-ORANGE 4
P HOSTESS-DONETTES-POWDERED 6
R KIND-BAR-DARK-CHOCOLATE-NUT 2
O SNICKERS 4 5
P FANTA-ORANGE 6
R TRIDENT-SPEARMINT-GUM 9
P MENTOS-FRUIT 9
R NUTRI-GRAIN-STRAWBERRY 3
R MONSTER-ENERGY 5
P SKITTLES 10
P EXTRA-PEPPERMINT-GUM 1
P STARBURST 8
R M&M 8
P HOSTESS-TWINKIES 3
M 6
O EXTRA-PEPPERMINT-GUM 7 7
