K WHAT-A-MATRAKA
P ALTOIDS-PEPPERMINT 5
M 7
R OREO 3
K WHAT-A-MATRAKA
R TRIDENT-SPEARMINT-GUM 1
R NUTRI-GRAIN-STRAWBERRY 9
P HOSTESS-DONETTES-POWDERED 10
O DORITOS-COOL-RANCH 1 5
M 3
R LAYS-BARBECUE 4
M 2
O GATORADE 5 10
M 8
R CHEETOS-CRUNCHY 2
K WHAT-A-MATRAKA
R RED-BULL 6
R DR-PEPPER 1
P NUTRI-GRAIN-STRAWBERRY 8
P MOUNTAIN-DEW 7
R TASTYKAKE-HONEY-BUN 2
O SPRITE 9 9
R GATORADE 6
K WHAT-A-MATRAKA
R FIJI-WATER 6
R SKITTLES 7
R RITZ-CRACKERS 8
P 3-MUSKETEERS 1
R SNICKERS 9
P ALTOIDS-PEPPERMINT 10
R PRINGLES-ORIGINAL 2
R LAYS-BARBECUE 10
R TWIX 5
R STARBURST 10
R COCA-COLA 8
P PRINGLES-ORIGINAL 7
M 5
O MILKY-WAY 9 1
R PRINGLES-SOUR-CREAM-&-ONION 1
R DORITOS-COOL-RANCH 5
R FIJI-WATER 5
M 9
R POCKY-CHOCOLATE 9
R TASTYKAKE-HONEY-BUN 1
R POCKY-CHOCOLATE 8
R FIJI-WATER 5
P TIC-TAC-ORANGE 8
P SUN-CHIPS-HARVEST-CHEDDAR 10
R HOSTESS-DONETTES-POWDERED 8
R TIC-TAC-ORANGE 10
R TIC-TAC-ORANGE 5
R AQUAFINA-WATER 7
P LIFE-SAVERS-GUMMIES 8
P LAYS-BARBECUE 3
O OREO 3 5
R PEPSI 1
O SKITTLES 9 6
R DASANI-WATER 3
R MOUNTAIN-DEW 6
R RED-BULL 8
R OREO 3
R STARBURST 6
R PRINGLES-ORIGINAL 8
R SKITTLES 6
R STARBUCKS-FRAPPUCCINO 5
M 5
P CHEETOS-CRUNCHY 7
M 4
R EXTRA-PEPPERMINT-GUM 7
O STARBURST 1 3
K WHAT-A-MATRAKA
P SMARTWATER 8
P GATORADE 2
R SNICKERS 5
P TRIDENT-SPEARMINT-GUM 10
R LAYS-BARBECUE 3
R MENTOS-FRUIT 9
R GATORADE 4
R NESTEA-LEMON-TEA 4
R FANTA-ORANGE 1
R SPRITE 4
R SUN-CHIPS-HARVEST-CHEDDAR 8
P SMARTWATER 8
P KIT-KAT 1
R AQUAFINA-WATER 1
O FIJI-WATER 6 9
R POCKY-CHOCOLATE 2
P TROPICANA-ORANGE-JUICE 4
P SPRITE 9
R OREO 1
R TRIDENT-SPEARMINT-GUM 4
R STARBUCKS-FRAPPUCCINO 5
O MOUNTAIN-DEW 10 9
R TWIX 2
R KIT-KAT 5
R KIND-BAR-DARK-CHOCOLATE-NUT 8
P ALTOIDS-PEPPERMINT 2
P 3-MUSKETEERS 2
R LAYS-CLASSIC 4
P HARIBO-GOLD-BEARS 7
R TIC-TAC-ORANGE 8
R TRIDENT-SPEARMINT-GUM 10
R PLANET-OATS-CHOCOLATE-MILK 9
R SPRITE 8
R TASTYKAKE-HONEY-BUN 1
P TWIX 5
R MILKY-WAY 10
O STARBURST 6 3
R CHEETOS-CRUNCHY 9
R MOUNTAIN-DEW 9
R MONSTER-ENERGY 3
R SUN-CHIPS-HARVEST-CHEDDAR 9
K WHAT-A-MATRAKA
R TRIDENT-SPEARMINT-GUM 4
O SMARTWATER 3 4
P NESTEA-LEMON-TEA 2
R NESQUIK-CHOCOLATE-MILK 8
R TWIX 3
K WHAT-A-MATRAKA
R ALTOIDS-PEPPERMINT 7
R NESQUIK-CHOCOLATE-MILK 9
P PLANET-OATS-CHOCOLATE-MILK 9
R SMARTWATER 4
R CHEETOS-FLAMIN'-HOT 7
R TIC-TAC-ORANGE 7
R HOSTESS-TWINKIES 7
R SUN-CHIPS-HARVEST-CHEDDAR 10
R DORITOS-COOL-RANCH 3
R TASTYKAKE-HONEY-BUN 9
R MENTOS-FRUIT 6
K WHAT-A-MATRAKA
M 2
R LAYS-CLASSIC 7
P STARBUCKS-FRAPPUCCINO 3
R SMARTWATER 7
O STARBURST 3 7
R ALTOIDS-PEPPERMINT 3
R KIND-BAR-DARK-CHOCOLATE-NUT 6
P TIC-TAC-ORANGE 6
R CHEETOS-CRUNCHY 10
R SNICKERS 10
R DORITOS-NACHO-CHEESE 1
R POCKY-CHOCOLATE 3
O TWIX 3 8
O FIJI-WATER 4 10
P DORITOS-NACHO-CHEESE 6
K WHAT-A-MATRAKA
R RED-BULL 2
R OREO 5
O SUN-CHIPS-HARVEST-CHEDDAR 4 5
R FANTA-ORANGE 5
R POCKY-CHOCOLATE 10
R SNICKERS 5
R NUTRI-GRAIN-STRAWBERRY 3
R HARIBO-GOLD-BEARS 3
P HOSTESS-DONETTES-POWDERED 5
R OREO 8
R 3-MUSKETEERS 3
M 6
P SPRITE 6
R FIJI-WATER 9
R RITZ-CRACKERS 4
R SUN-CHIPS-HARVEST-CHEDDAR 3
O OREO 9 2
O LIFE-SAVERS-GUMMIES 5 5
R MOUNTAIN-DEW 10
R MONSTER-ENERGY 7
R CLIF-BAR-CHOCOLATE-CHIP 6
P LIFE-SAVERS-GUMMIES 1
O NESQUIK-CHOCOLATE-MILK 5 1
P OREO 4
R PLANET-OATS-CHOCOLATE-MILK 7
P POWERADE 3
R ALTOIDS-PEPPERMINT 4
O DORITOS-NACHO-CHEESE 5 7
R TROPICANA-ORANGE-JUICE 10
P DASANI-WATER 6
O SPRITE 7 8
R MONSTER-ENERGY 9
R COCA-COLA 5
P KIT-KAT 4
R STARBURST 6
R TASTYKAKE-HONEY-BUN 4
R ALTOIDS-PEPPERMINT 10
R NESQUIK-CHOCOLATE-MILK 4
M 6
K WHAT-A-MATRAKA
P RED-BULL 3
R FANTA-ORANGE 6
M 7
R MONSTER-ENERGY 1
R TASTYKAKE-HONEY-BUN 9
O STARBURST 3 8
P MONSTER-ENERGY 4
R MONSTER-ENERGY 1
R LAYS-BARBECUE 9
R DORITOS-COOL-RANCH 6
R NESQUIK-CHOCOLATE-MILK 10
R RED-BULL 10
R MOUNTAIN-DEW 9
R SNICKERS 9
O M&M 5 5
R TROPICANA-ORANGE-JUICE 10
R POCKY-CHOCOLATE 8
R LIFE-SAVERS-GUMMIES 1
P MENTOS-FRUIT 3
M 4
R DORITOS-NACHO-CHEESE 7
R LAYS-BARBECUE 9
R SMARTWATER 3
O HOSTESS-TWINKIES 9 8
O HARIBO-GOLD-BEARS 7 3
R FIJI-WATER 1
R TRIDENT-SPEARMINT-GUM 1
R SMARTWATER 1
R KIND-BAR-DARK-CHOCOLATE-NUT 7
P TROPICANA-ORANGE-JUICE 4
R DR-PEPPER 4
R TWIX 8
R FANTA-ORANGE 9
R MOUNTAIN-DEW 7
R CLIF-BAR-CHOCOLATE-CHIP 7
R DORITOS-NACHO-CHEESE 7
M 6
R TIC-TAC-ORANGE 5
R TASTYKAKE-HONEY-BUN 10
R HARIBO-GOLD-BEARS 10
O PRINGLES-ORIGINAL 9 5
K WHAT-A-MATRAKA
R OREO 9
P OREO 3
R FIJI-WATER 8
R OREO 10
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
P TROPICANA-ORANGE-JUICE 5
K WHAT-A-MATRAKA
P TWIX 3
R FIJI-WATER 4
R HOSTESS-DONETTES-POWDERED 3
R POWERADE 5
P LAYS-CLASSIC 7
R POWERADE 7
R HOSTESS-DONETTES-POWDERED 7
R COCA-COLA 2
R PRINGLES-SOUR-CREAM-&-ONION 8
K WHAT-A-MATRAKA
R MONSTER-ENERGY 4
O TASTYKAKE-HONEY-BUN 1 3
R PRINGLES-ORIGINAL 10
R TRIDENT-SPEARMINT-GUM 2
K WHAT-A-MATRAKA
M 1
M 5
K WHAT-A-MATRAKA
P TROPICANA-ORANGE-JUICE 3
R MENTOS-FRUIT 1
M 10
M 6
R 3-MUSKETEERS 6
R PRINGLES-SOUR-CREAM-&-ONION 2
R M&M 3
R KIND-BAR-DARK-CHOCOLATE-NUT 8
R PEPSI 9
P DR-PEPPER 10
R NESTEA-LEMON-TEA 1
P DORITOS-COOL-RANCH 9
R OREO 10
P RITZ-CRACKERS 7
P SMARTWATER 2
R PRINGLES-SOUR-CREAM-&-ONION 2
R SPRITE 7
R TIC-TAC-ORANGE 8
R DASANI-WATER 5
R POCKY-CHOCOLATE 8
P MILKY-WAY 4
M 9
R PRINGLES-ORIGINAL 3
O STARBUCKS-FRAPPUCCINO 8 3
R RITZ-CRACKERS 6
O DR-PEPPER 10 10
P EXTRA-PEPPERMINT-GUM 8
R HOSTESS-DONETTES-POWDERED 4
P FANTA-ORANGE 2
R TRIDENT-SPEARMINT-GUM 8
P TRIDENT-SPEARMINT-GUM 4
K WHAT-A-MATRAKA
K WHAT-A-MATRAKA
